Strategy,Field Name,Type,Default,Description
Profile,Cut Depth,float,"0.125 in",Depth of the toolpath relative to Start Depth (C)
Profile,Start Depth,float,0.0,Depth at which the toolpath is calculated from; 0 for surface cuts
Profile,Pass Depths,list,[auto],List of per-pass Z depths; auto-calculated from tool Pass Depth with ±15% optimization
Profile,Maintain Exact Step Depth,bool,false,When true, disables step-size variation to optimize pass count
Profile,Set Last Pass Thickness,float,N/A,Specify last pass as remaining material thickness instead of absolute depth
Profile,Number of Passes,int,[auto],Force a specific number of evenly-spaced passes (overrides tool Pass Depth)
Profile,Cut Type,enum,"Outside",Position relative to vector: Outside / Inside / On
Profile,Cutting Direction,enum,"Climb",Direction of cut: Conventional or Climb
Profile,Allowance Offset,float,0.0,Overcut (negative) or undercut (positive) offset from selected shape
Profile,Last Pass Allowance,float,0.0,Separate allowance for the final pass only; cuts to exact size on last pass
Profile,Reverse Last Pass Direction,bool,false,Reverses cutting direction of the last pass to minimize witness marks
Profile,Use Vector Start Point,bool,true,Force plunge and start at vector's first node point (green box)
Profile,Add Tabs,bool,false,Enable tab/bridge creation to hold parts in material
Profile,Tab Length,float,"0.125 in",Length of each tab along the cut edge
Profile,Tab Thickness,float,"0.031 in",Thickness of each tab measured from bottom of Cut Depth
Profile,Create 3D Tabs,bool,false,Triangular-section tabs; cutter ramps up/down without Z lift stops
Profile,Ramp Type,enum,"Smooth",Ramp plunge strategy: Smooth / ZigZag / Spiral (no lead-in)
Profile,Ramp Distance,float,"0.125 in",Horizontal distance for ramp moves into material
Profile,Ramp Angle,float,N/A,Entry angle for cutters that cannot plunge vertically
Profile,Lead-In Type,enum,"None",Lead-in move: None / Straight Line / Circular Arc
Profile,Lead-In Length,float,"0.0625 in",Length of the lead-in move
Profile,Lead-In Angle,float,45°,Angle at which the straight-line lead approaches the edge
Profile,Circular Lead Radius,float,N/A,Radius for arc-style lead-in (auto-calculated from angle)
Profile,Do Lead Out,bool,false,Add an exit lead move at end of toolpath
Profile,Overcut Distance,float,"0.015 in",Distance cutter machines past start point for edge quality
Profile,Order Strategy,enum,"Optimize",Vector cutting order: Selection Order / Left-to-Right / Bottom-to-Top / Grid
Profile,Start At Mode,enum,"Optimize",Start-point strategy: Keep Current / Optimize / Closest on Bounding Box
Profile,Sharp External Corner,bool,false,Mimic vector angle at external corners for sharp V-bit cuts
Profile,Sharp Internal Corner (3D),bool,false,Angled tip movement into internal corners for sharp V-bit results
Profile,Safe Z,float,"0.25 in",Height above job for rapid / max feed-rate travel
Profile,Home Position,(x,y),"(0,0)",Position tool travels to before/after machining
Profile,Project onto 3D Model,bool,false,Drop toolpath down in Z onto a defined 3D model surface
Profile,Vector Selection,multi-select,"all",Select vectors by properties or position; supports TP templates
Profile,Name,string,[auto],Custom name for the toolpath entry

Pocket,Cut Depth,float,"0.125 in",Depth of pocket relative to Start Depth (C)
Pocket,Start Depth,float,0.0,Depth at which pocketing is calculated from
Pocket,Pass Depths,list,[auto],Per-pass Z depths; auto from tool Pass Depth with ±15% optimization
Pocket,Maintain Exact Step Depth,bool,false,Disable step-size variation for precise laminated cuts
Pocket,Set Last Pass Thickness,float,N/A,Last pass as remaining material thickness
Pocket,Number of Passes,int,[auto],Force specific number of evenly-spaced passes
Pocket,Tool Selection,list,[1 tool],Single or multiple tools; each removes max from unmachined areas
Pocket,Strategy,enum,"Offset",Fill pattern: Offset (concentric) / Raster (straight-line)
Pocket,Cut Direction,enum,"Climb",For Offset strategy: Climb (CCW) or Conventional (CW)
Pocket,Raster Angle,float,0°,Angle of raster passes; 0°=X-axis parallel, 90°=Y-axis parallel
Pocket,Profile Pass,enum,"Last",Edge cleanup timing: First / Last / No Profile Pass
Pocket,Pocket Allowance,float,0.0,Material left on pocket walls for profile pass to clean up
Pocket,Ramp Plunge Moves,bool,false,Use ramping instead of vertical plunge into pocket
Pocket,Use Vector Selection Order,bool,false,Machine pockets in selection order vs. optimized shortest path
Pocket,Safe Z,float,"0.25 in",Height above job for rapid travel
